OPPORTUNITY_ID,STAGE_NAME,LOST_REASON_C,CLOSED_LOST_NOTES_C,BUSINESS_ISSUE_C,HOW_DID_YOU_HEAR_ABOUT_US_C,CREATED_DATE,DEMO_HELD,DEMO_SET_DATE,DEMO_TIME,CLOSE_DATE,LAST_SALES_CALL_DATE_TIME,ACCOUNT_ID
006UV000009ci66YAA,Interest,,,,,2024-07-09 20:48:13.000,false,,2024-07-10 16:00:00.000,0024-07-19,2024-07-10 14:12:51.000,001UV00000CTIdnYAH
006UV000009fPBmYAM,Demo Set,,,,,2024-07-10 22:09:20.000,false,0024-07-10,2024-07-10 22:15:00.000,0024-07-20,2024-07-10 22:15:52.000,001UV00000CXMMEYA5
006UV0000053OuAYAU,Closed Won,,,"Losing 30% to DD. Menufy for website and olo, does 2-3k/month there. Knows their current direct olo sucks and wants to build a better online presence.",Facebook/IG,2024-03-07 18:43:34.000,true,0024-03-07,2024-03-07 23:30:00.000,0024-04-01,2024-04-01 18:33:54.000,001UV000005yCt5YAE
006UV000004P4CeYAK,Closed Won,,,"Recently bought resto back in July. Was an existing successful restaurant that the new owners were also previously involved in. Looking to evolve their online presence and meet the needs of today's olo world. Super broken customer experience rn, uses deliverme on their site for 1p olo. Doing ~8k/mo direct and about 10k thru 3p. 
Loves all in one, loves marketing, super excited about app.",Cold call,2024-02-20 21:11:35.000,true,,2024-02-20 21:15:00.000,0024-03-08,2024-05-09 16:42:21.000,001UV0000057H9OYAU
006UV000004PP2YYAW,Closed Won,,,"Currently pushes to GH directly from his website, not showing up when looking up ""vegan food"" in his area, all his competitors are coming up first. want to offer more delivery services but hates working with the 3rd parties.",Media Outlet,2024-02-20 22:24:23.000,true,0024-02-20,2024-02-21 20:00:00.000,0024-03-25,2024-03-25 18:38:12.000,001UV0000057d6fYAA
006UV000009aGsHYAU,Closed Lost,Other,"just paid a lot for a big company to build new website, doesnt wanna change it",,,2024-07-08 21:29:02.000,true,0024-07-08,2024-07-09 21:00:00.000,0024-07-09,2024-07-09 21:07:33.000,001UV00000CPpObYAL
006UV000008UcZVYA0,Closed Lost,POS Integration,Uses own in house built POS and they have it integrated into KDS now and do everything we do and building own mobile app already. Didn't really know what we did and thought we were last mile delivery service company. NO GO!,,,2024-06-05 18:36:37.000,true,0024-06-05,2024-06-06 17:00:00.000,0024-06-06,2024-05-29 19:58:54.000,001UV00000Anb79YAB
006UV000007Sm7JYAS,Closed Lost,Missing Features,"5 stations that all are diff cuisines, thai, chinese, japanese, etc. and he cannot only have 1 ticket print out in tablet. Just operationally impossible.",,,2024-05-14 18:41:17.000,true,0024-05-14,2024-05-15 16:00:00.000,0024-05-15,2024-05-15 16:16:07.000,001UV000009QEVEYA4
006UV000007DJtdYAG,Closed Lost,Other,"No idea what we do, not looking for what we do and in contract with Spothopper and HungerRush and we don't even integrate with HungerRush so deal breaker already even though he wasn't shopping for what we do.",,,2024-05-07 19:31:33.000,true,,2024-05-07 19:15:00.000,0024-05-07,2024-05-07 15:24:47.000,001UV0000094C8vYAE
006UV000007CN9iYAG,Closed Lost,Other,the guy does not want to give us access to his domain at all,,,2024-05-07 14:42:14.000,true,,2024-05-07 14:30:00.000,0024-05-07,2024-05-07 14:41:40.000,001UV00000930slYAA
006UV000007FkzNYAS,Closed Lost,Lack of Urgency,,,,2024-05-08 18:23:25.000,true,0024-05-08,2024-05-08 19:00:00.000,0024-05-08,2024-05-08 20:00:15.000,001UV0000098HUkYAM
006UV000005lKlBYAU,Closed Lost,Lack of Urgency,just re signed with spothopper for one year,,,2024-03-26 14:09:42.000,true,0024-03-26,,0024-03-26,2024-03-23 15:45:43.000,001UV000006xkTBYAY
006UV000005lgfFYAQ,Closed Lost,Price,he was price sensitive to begin with and sdr told him price and then convinced him to hop on the demo but my back was against the wall the whole time. said he needed to double direct online ordering to justify the 499 and he didnt believe we could do that,,,2024-03-26 16:09:53.000,true,0024-03-26,2022-11-07 18:45:00.000,0024-03-26,2024-03-26 18:35:20.000,001UV000006yFryYAE
006UV000002UzwCYAS,Closed Lost,Not a Decision Maker,,,,2024-01-05 16:43:49.000,false,0024-01-05,2024-02-07 18:00:00.000,0024-02-07,2024-02-05 19:02:43.000,001UV000002nKCfYAM
006UV000008j0CAYAY,Interest,,,,,2024-06-12 15:49:12.000,false,,,0024-07-10,2024-06-24 15:20:05.000,001UV00000B80cSYAR
006UV000009cMWzYAM,In Progress,,,,,2024-07-09 18:48:27.000,true,,2024-07-10 21:00:00.000,0024-07-19,2024-07-09 15:54:45.000,001UV00000CSkyjYAD
006UV000008HHuJYAW,Closed Lost,No Demo Held,,,,2024-05-30 17:07:16.000,false,0024-05-30,2024-06-03 17:00:00.000,0024-06-07,2024-06-07 15:20:55.000,001UV00000AU4boYAD
006UV000005YLbpYAG,Closed Lost,Price,price,,,2024-03-20 17:11:41.000,false,0024-03-20,2024-03-21 00:00:00.000,0024-03-21,2024-03-20 16:42:42.000,001UV000006g8oyYAA
006UV000008HbTEYA0,Closed Won,,,"hates paying high fees on 3ps
doesnt have a nice website for high conversations
needs a way to collect data and market to customers",Cold call,2024-05-30 17:46:13.000,true,,2024-05-31 20:00:00.000,0024-05-31,2024-05-31 23:06:38.000,001UV00000AULm4YAH
006UV000008HqonYAC,Closed Lost,Price,big rig demoed for me said they ended the demo as soon as price was discussed,,,2024-05-30 19:04:24.000,true,0024-05-30,2024-06-04 16:30:00.000,0024-06-04,2024-06-03 19:41:15.000,001UV00000AUfOEYA1
006UV000008S8R3YAK,Closed Lost,Price,"refused to pay 500/month, couldn't get him past it",,,2024-06-04 19:29:51.000,true,0024-06-04,2024-06-05 13:30:00.000,0024-06-05,2024-06-05 13:27:14.000,001UV00000Ak8eLYAR
006UV0000089iJmYAI,Closed Lost,POS Integration,"#toastotter

CL off the jump",,,2024-05-28 15:57:18.000,true,0024-05-28,2024-05-24 20:00:00.000,0024-05-28,2024-05-28 15:52:36.000,001UV00000A638jYAB
006UV000007k86cYAA,Closed Lost,POS Integration,#toastotter,,,2024-05-22 14:59:37.000,true,0024-05-22,2024-05-22 15:00:00.000,0024-05-22,2024-05-20 18:40:56.000,001UV000009oNymYAE
006UV000005dyizYAA,Closed Lost,POS Integration,,"fantastic fit restaurant, tabit pos hard deal breaker with their current volume would destroy flow of service",,2024-03-22 18:41:39.000,true,0024-03-22,2024-03-22 15:00:00.000,0024-03-22,2024-03-22 18:32:37.000,001UV000006nuSEYAY
006UV000008CxfeYAC,Closed Lost,Lack of Urgency,,,,2024-05-28 21:07:41.000,true,,2024-05-28 20:45:00.000,0024-05-30,2024-05-30 20:14:37.000,001UV00000A77S2YAJ
006UV000007UMS7YAO,Closed Lost,No Demo Held,,,,2024-05-15 13:40:19.000,false,0024-05-16,2024-05-23 20:00:00.000,0024-06-06,2024-05-23 20:03:12.000,001UV000009Sk5yYAC
006UV000008P1ifYAC,Closed Lost,Bad Fit,,,,2024-06-03 17:25:13.000,false,,2024-06-04 15:00:00.000,0024-06-16,2024-05-31 15:54:36.000,001UV00000AewxBYAR
006UV000008GrjhYAC,Closed Lost,No Demo Held,,,,2024-05-30 13:26:43.000,false,,2024-05-30 21:15:00.000,0024-06-18,2024-06-04 19:31:30.000,001UV00000ATTLrYAP
006UV000007ScKsYAK,Closed Lost,No Demo Held,,,,2024-05-14 18:09:51.000,false,,2024-05-18 18:00:00.000,0024-05-16,2024-05-14 18:06:59.000,001UV000009QUzlYAG
006UV0000068Z5BYAU,Closed Lost,No Demo Held,,,,2024-04-06 14:43:12.000,false,,2024-04-08 15:30:00.000,0024-04-22,2024-04-08 15:35:42.000,001UV000007WXWHYA4
006UV000007XjQZYA0,Closed Lost,No Demo Held,,,,2024-05-16 18:11:37.000,false,0024-05-16,2024-05-17 21:00:00.000,0024-06-04,2024-05-20 17:26:26.000,001UV000009XgJTYA0
006UV000008KkyAYAS,Closed Lost,No Demo Held,told me she didn't want a demo after 1-2 reschedule,,,2024-05-31 20:49:35.000,false,,2024-05-31 20:45:00.000,0024-06-12,2024-06-11 21:07:29.000,001UV00000AYXv3YAH
006UV000009cD0jYAE,In Progress,,,,,2024-07-09 19:33:16.000,true,0024-07-09,2024-07-10 20:15:00.000,0024-07-19,2024-07-10 20:20:37.000,001UV00000CSgS3YAL
006UV000008OpMYYA0,Closed Lost,No Demo Held,,,,2024-06-03 17:01:14.000,false,0024-06-03,2024-06-03 21:00:00.000,0024-06-07,2024-06-07 16:41:46.000,001UV00000AequzYAB
006UV000009fTLrYAM,Interest,,,,,2024-07-10 23:16:55.000,false,,2024-07-12 18:30:00.000,0024-07-20,2024-07-10 15:02:33.000,001UV00000CXPs3YAH
006UV000008Tn5ZYAS,Closed Lost,POS Integration,Very keen on having everything integrated with Heartland,,,2024-06-05 14:17:02.000,true,0024-06-05,2024-06-05 19:00:00.000,0024-06-12,2024-06-12 19:47:20.000,001UV00000AmKQ6YAN
006UV000009OhjNYAS,Closed Lost,Price,"Prospect is only doing 1k in total olo/mo. Bar business is main rev stream, cannot justify price.",,,2024-07-02 15:59:17.000,true,,2024-07-02 19:30:00.000,0024-07-08,2024-07-02 15:57:09.000,001UV00000C89yTYAR
006UV000008JZ5YYAW,Closed Lost,No Demo Held,,,,2024-05-31 14:39:17.000,false,,2024-06-03 14:30:00.000,0024-06-17,2024-05-31 14:37:33.000,001UV00000AWqDtYAL
006UV000008iiojYAA,Closed Lost,No Demo Held,sold other locs other accounts.,,,2024-06-12 13:36:55.000,false,0024-06-12,2024-06-13 16:00:00.000,0024-06-13,2024-06-12 20:44:12.000,001UV00000B7bxNYAR
006UV000009aEldYAE,Closed Won,,,"not pleased with bento site looks snazzy but thats about it, no seo, olo pushes off domain, one of the olo links is broken and he didnt know, wants the all in one",Cold call,2024-07-08 21:16:15.000,true,,2024-07-09 17:00:00.000,0024-07-09,2024-07-08 21:14:36.000,001UV00000CPQyaYAH
006UV000009eThFYAU,Closed Won,,,"Just opened 2 months ago. Crushing it already doing around $5,500/day from only walk-in/call-in orders. No online ordering or 3Ps, no delivery. He owns a Menchies and uses 3Ps there so he wanted to start fresh here with the right tools so could continue to scale and eventually franchise. No loyalty or email/text marketing right now, only Facebook/Instagram marketing and Google ads. Really interested in SEO so that he can continue driving volume into the restaurant which is important when looking to franchise and grow.",Media Outlet,2024-07-10 16:13:58.000,true,0024-07-10,2024-07-10 16:00:00.000,0024-07-10,2024-07-10 16:13:14.000,001UV00000CVx89YAD
006UV000008PVonYAG,Closed Lost,Bad Fit,,,,2024-06-03 19:48:45.000,false,,2024-06-06 21:00:00.000,0024-06-13,2024-06-03 19:48:21.000,001UV00000AgOjJYAV
006UV000007QSSsYAO,Closed Lost,Price,Email in saying will not move forward; pricing was initial hesitation that he wanted to hold off on from the start,,,2024-05-13 20:36:27.000,true,0024-05-13,2024-05-28 19:00:00.000,0024-05-28,2024-05-13 21:48:58.000,001UV000009NLeUYAW
